control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,False,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.0268556147813797,6.0,True,0.19152190616431775,0.19152190616431775,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.026690500974655154,6.0,False,0.19191560777821384,0.38343751394253156,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.002889615669846535,6.0,True,0.18690308588158103,0.5703405998241126,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,-0.0010141857899725437,6.0,False,0.18795770753743368,0.7582983073615462,0.017232009705660804
6,0.7100000000000004,1.6368188394786884,-0.024998554484956925,6.246212018917507,5.152876976306625,0.0,0.029693037271499634,6.0,True,0.18238788360882327,0.9406861909703695,0.022821812847838498
7,0.8100000000000005,2.1677780977646193,-0.04391516679355678,6.245317494219202,5.4795627818034465,0.0,0.018999508023262026,6.0,False,0.18584261580762657,1.1265288067779962,0.028691149356972277
8,0.9100000000000006,2.725289423343451,-0.061520294755315966,6.265305215156246,5.680264978629355,0.0,-0.013675770163536072,6.0,True,0.19290435139152498,1.3194331581695211,0.03473339501421627
9,1.0100000000000007,3.2992248895755942,-0.07385050497884187,6.268978206115081,5.803568076385578,0.0,-0.022119960188865664,6.0,False,0.1947833307401742,1.5142164889096954,0.040880722232774606
10,1.1100000000000008,3.883141749863282,-0.08710711848178314,6.246403062545169,5.879320380828309,0.0,-0.03190727829933167,5.999987334012985,True,0.19940493730062675,1.7136214262103222,0.04708994155284552
11,1.2100000000000009,4.472937562142126,-0.10897761267831775,6.216784275911778,5.925854567357811,-0.032,-0.0556408166885376,5.99991312623024,False,0.19127096472784852,1.9048923909381708,0.05332926692981902
12,1.310000000000001,5.065593061826111,-0.14816070924799074,6.164088511526402,5.954414622134377,-0.032,-0.009810539335012436,5.826445430517197,True,0.17859244975640762,2.0834848406945783,0.05948782711135881
13,1.410000000000001,5.650576908828901,-0.21246467682806056,6.10702951090772,5.8419651244016,-0.032,0.044165807962417605,5.572027772665024,False,0.17752792388097002,2.2610127645755482,0.06541817223011417
14,1.5100000000000011,6.2138832660555465,-0.29728105270388117,6.096427737934727,5.6047649105180986,0.032,0.055909705162048344,4.986328691244125,True,0.16260361796414743,2.4236163825396955,0.07091513180069607
15,1.6100000000000012,6.7360235815885305,-0.3783335844665195,6.164772907898019,5.065525115890861,0.032,0.08859196901321412,4.361904248595238,False,0.12740352879834832,2.551019911338044,0.07584666176376637
16,1.7100000000000013,7.204455371547154,-0.43027271801147227,6.27829431957705,4.457437363037684,0.096,0.019102033972740174,4.195188269019127,True,0.16472108100285085,2.7157409923408946,0.08038851663483837
17,1.8100000000000014,7.635873049817527,-0.43574514438204937,0.09487465292193067,4.22699299958901,0.032,0.0379643201828003,3.76694530621171,False,0.135274107358052,2.8510150996989467,0.08456514633163631
18,1.9100000000000015,8.032599043477992,-0.4060681828048037,0.15188262923629176,3.822738417688105,0.032,-0.03446454107761383,3.4319865042343736,True,0.12822817223355282,2.9792432719324995,0.08832979522495253
19,2.010000000000001,8.390192170330646,-0.35492654104251614,0.17824843836542817,3.479375645362093,-0.032,0.12462955713272095,3.383977947756648,False,0.08439084477204403,3.0636341167045433,0.09189171273286471
20,2.109999999999999,8.728528428329875,-0.29986999688885974,0.17691342925797643,3.395547475120253,0.096,0.015517115592956543,3.96369768679142,True,0.15718514229860645,3.2208192590031497,0.09549578352900347
21,2.209999999999997,9.07086870544781,-0.22578064524272592,0.24147160133865625,3.6146497829925592,0.032,-0.12972886562347413,3.169097326695919,False,0.08334330987922584,3.3041625688823757,0.09919751104829568
22,2.3099999999999947,9.399269333872903,-0.14801117402735445,0.22799122236140656,3.223132502223585,-0.16,-0.18985837697982788,3.4868908978533,True,0.13124099681751705,3.4354035656998927,0.10241080451664623
23,2.4099999999999926,9.72230287124732,-0.0965094285242986,0.0911277795698251,3.3248486892741584,-0.16,-0.3961253881454468,2.1678051948547363,False,0.0,3.4354035656998927,0.10535689844431051
24,2.5099999999999905,10.01161906396704,-0.09305853033776589,6.126100755430929,2.428731898347132,-0.41600000000000015,-0.28502840995788575,2.9445884227752686,True,0.09761796479447744,3.53302153049437,0.10642655441469517
25,2.6099999999999883,10.250595664212527,-0.1719020114237626,5.871489259447418,2.6276675894925017,-0.28800000000000003,-0.3638040065765381,3.69453139975667,False,0.15662266373105233,3.6896441942254223,0.10803875952614807
26,2.709999999999986,10.491577071621851,-0.31908449346065126,5.657221593575405,3.0390945646347953,-0.3520000000000001,-0.37424879074096684,4.408238440752029,True,0.135699970970471,3.8253441651958933,0.110995834709518
27,2.809999999999984,10.726012312198835,-0.5500022930347903,5.391441082091537,3.567093282058745,-0.3520000000000001,-0.3939119577407837,5.390087127685547,False,0.025954208900431402,3.8512983740963245,0.11496079825261812
28,2.909999999999982,10.932667926886422,-0.8810611362067133,5.11875186394948,4.270115388904356,-0.41600000000000015,-0.20518109798431397,5.999968111515045,True,0.0,3.8512983740963245,0.12130187578690538
29,3.00999999999998,11.076988715865378,-1.316491729544423,4.846116369685533,4.937218412043879,-0.224,-0.24319744110107422,5.999999552965164,False,0.0,3.8512983740963245,0.12630918328439655
30,3.1099999999999777,11.139669061716884,-1.825704835385262,4.649544129311693,5.347070940399161,-0.224,0.37331838607788087,6.0,True,0.0,3.8512983740963245,0.13146903111327574
31,3.2099999999999755,11.105460518907819,-2.371020230720493,4.4538144461589395,5.598867491551794,0.032,0.09698345065116883,6.0,False,0.007016040906187709,3.8583144150025124,0.1363691203716759
32,3.3099999999999734,11.010050606122698,-2.9303719555952408,4.524106815487453,5.753560839469577,0.096,0.37164285182952883,5.9999696016311646,True,0.0,3.8583144150025124,0.1413653926713466
33,3.4099999999999713,10.929477493521569,-3.504505013772912,4.722711336575115,5.848586287600202,0.3520000000000001,0.34704735279083254,5.993021786212921,False,0.0400475529255058,3.898361967928018,0.1482477906570467
34,3.509999999999969,10.959762605768733,-4.089524946125224,5.150899033348767,5.904286611976831,0.3520000000000001,-0.0645892322063446,5.999999850988388,True,0.08758579062595484,3.985947758553973,0.1545072972026683
35,3.609999999999967,11.176823661683246,-4.637153927009007,5.580974613116339,5.941197610389876,0.096,-0.05527349710464478,5.999917149543762,False,0.14126840564549967,4.1272161641994725,0.16021783507592122
36,3.709999999999965,11.552906662495687,-5.096764299366281,5.677494299011963,5.963842302377179,-0.032,-0.3968401670455933,5.539262652397156,True,0.11649219446140247,4.243708358660875,0.16525394877163854
37,3.8099999999999627,11.975750309781311,-5.484142743624837,5.591907035442886,5.59075431311616,-0.28800000000000003,-0.3663225650787354,4.441558927297592,False,0.01521793143099237,4.258926290091868,0.1700032346468629
38,3.9099999999999606,12.327010652500794,-5.861332201682642,5.038866591129757,4.698317912830698,-0.3520000000000001,-0.2095496416091919,6.0,True,0.18174104231834787,4.440667332410215,0.175131815844785
39,4.009999999999959,12.500815818132677,-6.320022840838672,4.696562067640326,5.200300563820018,-0.224,-0.04711209833621979,6.0,False,0.1959229647370673,4.636590297147283,0.1806589851199545
40,4.109999999999957,12.532031367449054,-6.853386652706165,4.586522046733935,5.508697865223521,-0.032,0.3082465648651123,6.0,True,0.13442911531322851,4.771019412460511,0.18627745200782556
41,4.209999999999955,12.495697995054675,-7.412279449418669,4.599227181105368,5.698164364365513,0.224,0.2961544990539551,6.0,False,0.150158669588346,4.921178082048857,0.19218159909704466
42,4.3099999999999525,12.483828884640285,-7.987169368210011,4.907377906529689,5.814564715904759,0.28800000000000003,-0.29680695533752444,6.0,True,0.118804720702481,5.039982802751338,0.19831486089816192
43,4.40999999999995,12.596270399472184,-8.559569623402778,5.267866382618098,5.886076259633161,0.032,0.030345648527145386,5.999971389770508,False,0.16694470713509463,5.206927509886432,0.20443521966365727
44,4.509999999999948,12.834927869836505,-9.099152368253366,5.329244099376218,5.929998950069388,0.032,-0.23641700744628907,5.9893926084041595,True,0.17875151283377783,5.38567902272021,0.21043315823128084
45,4.609999999999946,13.13718771006628,-9.610550720697475,5.290682214409227,5.9529036103983,-0.224,-0.2082993507385254,5.917871057987213,False,0.187108121568974,5.572787144289184,0.21654268330277684
46,4.709999999999944,13.419887489039072,-10.131906740892601,5.01355860143113,5.922119693791961,-0.224,-0.024817371368408205,5.935985058546066,True,0.1690077191501774,5.741794863439361,0.2227494328978703
47,4.809999999999942,13.608267394439972,-10.692517506380637,4.738753364780976,5.92746675404946,-0.032,-0.12313275337219239,5.999999850988388,False,0.1773647978275703,5.9191596612669315,0.22896127927328108
48,4.90999999999994,13.690185241348765,-11.280242941724106,4.6528715427710505,5.95543852737627,-0.096,0.25011773109436036,6.0,True,0.14245578503632447,6.061615446303256,0.23533943621562708
49,5.009999999999938,13.686746596969549,-11.876331963054218,4.567970447930483,5.972623281149976,0.16,0.13687053918838502,6.0,False,0.19119991886243434,6.252815365165691,0.24104226296464604
50,5.1099999999999355,13.663302608614257,-12.473612687658909,4.762069188701943,5.983180880458735,0.16,0.23147938251495362,6.0,True,0.16571292147961608,6.418528286645307,0.24728066287630118
51,5.209999999999933,13.700943126616778,-13.070321129371745,5.028696322073438,5.989667031184672,0.224,0.21379640102386477,6.0,False,0.15768794652876833,6.576216233174075,0.25362327733933304
52,5.309999999999931,13.867400317319426,-13.644226404977815,5.355936455278595,5.993651852923895,0.224,-0.3480381727218628,5.999999105930328,True,0.1289883096015085,6.705204542775584,0.2598790185077192
53,5.409999999999929,14.179932648458012,-14.15379540775967,5.616014258082364,5.996099617183752,-0.032,-0.08958415389060975,5.99177098274231,False,0.17580577554416432,6.881010318319748,0.265938515325977
54,5.509999999999927,14.585760055690672,-14.594393972250238,5.578810833954769,5.992295945669868,-0.096,-0.3399103164672852,5.085754454135895,True,0.11611559669220738,6.997125915011956,0.271575174358871
55,5.609999999999925,14.978751078254087,-14.991996155923,5.370360453779895,5.235863871400709,-0.3520000000000001,-0.29583833217620853,4.41693677008152,False,0.08293574692187235,7.080061661933828,0.27662357105251417
56,5.709999999999923,15.245487141992209,-15.394762020166501,4.7621650724371545,4.540606403332341,-0.28800000000000003,0.3996592521667481,6.0,True,0.0,7.080061661933828,0.28141151526055985
57,5.809999999999921,15.315884019523295,-15.868035533255576,4.560769867516364,5.103409159637602,-0.032,-0.047120243310928345,5.619269669055939,False,0.05467136640050725,7.1347330283343355,0.2861336198298177
58,5.909999999999918,15.28134226947471,-16.38678951177801,4.573789392996083,5.302346387560626,-0.032,0.19171866178512575,5.814833849668503,True,0.019152223094326126,7.153885251428662,0.2908741365030878
59,6.009999999999916,15.216267182126423,-16.9227643320669,4.58350660792267,5.499982828411671,0.16,0.15013978481292725,3.4900312500540167,False,0.17949755928477795,7.33338281071344,0.2954701058838991
60,6.109999999999914,15.18097195865661,-17.428496148143378,4.85176341254761,4.548982828411667,0.16,0.11959528923034668,3.216569557785988,True,0.18951500523601722,7.522897815949457,0.29953263029364446
61,6.209999999999912,15.227282472746086,-17.836778509782203,5.24254399211087,3.602450004338661,0.096,0.14441821575164795,4.34905318915844,False,0.04170551653571508,7.564603332485172,0.30502034829979185
62,6.30999999999991,15.392375535587155,-18.170814883091513,5.381696012233232,3.8903711869739066,0.16,-0.2707603693008423,5.514981955289841,True,0.0,7.564603332485172,0.30905644299682755
63,6.409999999999908,15.650727227607177,-18.501402150803592,5.436307505996227,4.516888543511023,-0.096,0.062020355463027955,3.2120116278529167,False,0.06705702595179722,7.631660358436969,0.3129652698574404
64,6.509999999999906,15.906899144293849,-18.820075055143395,5.337915093285809,3.5755931341528493,0.032,-0.2672816514968872,1.7727068662643433,True,0.07683701580703864,7.708497374244008,0.31601352042269143
65,6.6099999999999035,16.09665519977963,-19.07109273761259,5.295482461920938,2.6245931341528497,-0.224,-0.3714224100112915,2.4395131170749664,False,0.13333746510971398,7.841834839353722,0.31866631487586194
66,6.709999999999901,16.207678725872878,-19.296918849220848,5.066163914209278,2.461959029039165,-0.3520000000000001,-0.39526956081390385,2.2259607017040253,True,0.10211553135037753,7.9439503707040995,0.32193775065459757
67,6.809999999999899,16.245761672901565,-19.526377550605684,4.787482054334424,2.2545818233285906,-0.41600000000000015,-0.3808846235275269,2.3336270302534103,False,0.1234541590647695,8.067404529768869,0.32300765826760347
