control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,False,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.02601616084575653,6.0,False,0.19131204268041196,0.19131204268041196,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.02601616084575653,6.0,False,0.19174702274598918,0.3830590654264011,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.02601616084575653,6.0,False,0.19268472217555854,0.5757437876019597,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,0.013204769790172578,6.0,True,0.1844029686423974,0.7601467562443571,0.01723245070178323
6,0.7100000000000004,1.6368607284268524,-0.023452807787399627,6.258966318390905,5.152876976306625,0.0,0.012407177686691286,6.0,False,0.1853317765446172,0.9454785327889743,0.02282478644770693
7,0.8100000000000005,2.1680605514289835,-0.033470720032260065,6.276343322323001,5.4795627818034465,0.0,0.012407177686691286,6.0,False,0.18394432554737639,1.1294228583363508,0.028696902281345048
8,0.9100000000000006,2.7258358770163706,-0.03700858160105844,0.011166040476909622,5.680264978629355,0.0,0.012407177686691286,6.0,False,0.18191080016991631,1.3113336585062672,0.03474021847668151
9,1.0100000000000007,3.2998730305704265,-0.03163776420394746,0.03011147960957661,5.803568076385578,0.0,0.012407177686691286,6.0,False,0.1789090859249872,1.4902427444312543,0.04088685009628185
10,1.1100000000000008,3.8837238179218394,-0.01596689946076238,0.05014652133571537,5.879320380828309,0.0,-0.10380111932754517,5.999981075525284,True,0.19605729041914782,1.686300034850402,0.04709599731566209
11,1.2100000000000009,4.4735127815642866,0.006218515737789387,0.02359061535740613,5.925852153825137,-0.128,-0.10015078783035279,5.982666224241257,False,0.19545876488455197,1.881758799734954,0.05334412081141498
12,1.310000000000001,5.067003989143989,0.0019229910911636155,6.152752865026589,5.9477620179633135,-0.128,-0.10015078783035279,5.982666224241257,False,0.18141787761214773,2.063176677347102,0.05956818228585785
13,1.410000000000001,5.658209614805568,-0.06539409040965763,5.989748762757169,5.961222528921241,-0.128,-0.10015078783035279,5.982666224241257,False,0.14446879869841142,2.207645476045513,0.06564287673776904
14,1.5100000000000011,6.235227298337774,-0.21457915841876016,5.83220975888946,5.9694921080526235,-0.128,-0.10015078783035279,5.982666224241257,False,0.07419106709689463,2.2818365431424077,0.07141971557316901
15,1.6100000000000012,6.783952537002686,-0.44880069416287904,5.676696821074559,5.9745725941667045,-0.128,0.3640587568283081,5.999980330467224,True,0.0557562397929105,2.3375927829353182,0.07677879119191354
16,1.6700000000000013,7.29299565413083,-0.7616859939324444,5.559038571018229,5.984370872063813,0.128,0.3990787744522095,4.589703366160393,False,-1,1.3375927829353182,0.07975795881983425
