control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,False,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.027473875880241395,6.0,True,0.19167647143903316,0.19167647143903316,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.027656808495521545,6.0,False,0.19215718465843043,0.38383365609746356,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.004370822384953499,6.0,True,0.18727338756035777,0.5711070436578214,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,-0.0027374824509024624,6.0,False,0.18838853170266617,0.7594955753604875,0.017232009705660804
6,0.7100000000000004,1.6368188394786884,-0.024998554484956925,6.246212018917507,5.152876976306625,0.0,0.029414859414100648,6.0,True,0.18245742807317303,0.9419530034336605,0.022821812847838498
7,0.8100000000000005,2.1677780977646193,-0.04391516679355678,6.245317494219202,5.4795627818034465,0.0,0.01870036870241165,6.0,False,0.18591740063783915,1.1278704040714997,0.028691149356972277
8,0.9100000000000006,2.725289423343451,-0.061520294755315966,6.265305215156246,5.680264978629355,0.0,-0.014679846167564393,6.0,True,0.19315537039253206,1.3210257744640317,0.03473339501421627
9,1.0100000000000007,3.2992248895755942,-0.07385050497884187,6.268978206115081,5.803568076385578,0.0,-0.02368367910385132,6.0,False,0.1951742604689206,1.5162000349329523,0.040880722232774606
10,1.1100000000000008,3.883141749863282,-0.08710711848178314,6.246403062545169,5.879320380828309,0.0,-0.03304353356361389,5.999983757734299,True,0.19968864348882864,1.715888678421781,0.047089610978846605
11,1.2100000000000009,4.472906161872597,-0.10966948761097801,6.209904047698985,5.925853188196284,-0.064,-0.05736265182495118,5.999876320362091,False,0.19012029289814283,1.906008971319924,0.05332521874418167
12,1.310000000000001,5.0652085363627375,-0.15364486530340407,6.143630754478034,5.954399580964068,-0.064,-0.008242948353290558,5.702889621257782,True,0.16424021257873006,2.070249183898654,0.059402232947978764
13,1.410000000000001,5.642446566427625,-0.2266508523107126,6.074183510097143,5.733391943998063,0.0,0.07086202502250671,5.4696371257305145,False,0.16493204944308962,2.2351812333417436,0.06520166405730247
14,1.5100000000000011,6.19331777995076,-0.3224188309456541,6.07832861553746,5.501624465716956,0.064,0.09671152830123902,4.98106724023819,True,0.1614315166890134,2.396612750030757,0.0706303940086887
15,1.6100000000000012,6.708977160989304,-0.40516598866489434,6.215565576204957,5.044784318857676,0.128,0.1159014105796814,4.405840694904327,False,0.12246350040837706,2.519076250439134,0.0755827768000359
16,1.7100000000000013,7.179389700887321,-0.43253717767306415,0.1503893724508087,4.488829683225718,0.128,-0.07642489671707153,4.713718056678772,True,0.18431250616229053,2.7033887566014245,0.08031718595714173
17,1.8100000000000014,7.629097554731293,-0.3806627415295163,0.2538151138032575,4.575555976070491,-0.064,0.009803382307291032,3.757734563201666,False,0.1241206336187756,2.8275093902202,0.08464935003397822
18,1.9100000000000015,8.04059731000066,-0.30038314009067346,0.23165308690033162,3.881092379726143,0.0,-0.15315225124359133,2.5873610973358154,True,0.0343169061527164,2.8618262963729166,0.08820212459964874
19,2.010000000000001,8.378065106319266,-0.22729776028295634,0.202015065173262,2.941916869815503,-0.128,0.006100586801767349,2.4326176792383194,False,0.00804222191574508,2.8698685182886616,0.09098046734569581
20,2.109999999999999,8.64197186048996,-0.1879066192123662,0.10802126094931917,2.494648738554414,0.0,-0.0077311724424362184,4.462893217802048,True,0.1256273136053493,2.995495831894011,0.0939773361910068
21,2.209999999999997,8.92663577777178,-0.15416311458841409,0.11172541147313089,3.2536855196753884,0.0,-0.1822689175605774,3.233305610716343,False,0.11733002071504518,3.112825852609056,0.09759885759738937
22,2.3099999999999947,9.249380029805893,-0.12316406150982667,0.06737582169910444,3.2357772208315536,-0.192,-0.05364639759063721,4.03169384598732,True,0.14248379039344153,3.255309643002498,0.1012386740236246
23,2.4099999999999926,9.587881393644633,-0.12181198517510873,6.235662429219029,3.542715713264075,-0.064,-0.38097026348114016,3.177518382668495,False,0.09685658877716329,3.352166231779661,0.1045728350388579
24,2.5099999999999905,9.921349259750492,-0.14706560351937498,6.130149492495729,3.2218083457964934,-0.32000000000000006,-0.38093483448028564,3.37351200543344,True,0.12415259516748725,3.4763188269471486,0.10696966294559547
25,2.6099999999999883,10.232084046456738,-0.23883538438627222,5.836642898373193,3.2803115747953195,-0.3840000000000001,-0.3572588443756104,3.5850279349833727,False,0.14155905987076556,3.6178778868179142,0.1091364863187809
26,2.709999999999986,10.509514596581779,-0.4220790347955481,5.514875831056167,3.3978228533131443,-0.3840000000000001,0.25728611946105956,1.623757243156433,True,0.0,3.6178778868179142,0.113142724065178
27,2.809999999999984,10.696837888156816,-0.6510523534125265,5.100134326137683,2.4468228533131446,-0.128,-0.3566301822662354,5.99874547123909,False,0.0,3.6178778868179142,0.11500372021752223
28,2.909999999999982,10.803093349572174,-0.917657407204378,5.024744634118506,3.3978228533131443,-0.32000000000000006,-0.16509830951690674,6.0,True,0.0,3.6178778868179142,0.12016232171203983
29,3.00999999999998,10.887173445655803,-1.2903803194950725,4.850918956207391,4.3268343712317705,-0.192,-0.19203215837478638,6.0,False,0.0,3.6178778868179142,0.12477469434102037
30,3.1099999999999777,10.932177589975415,-1.7522199593876242,4.708640689080796,4.972076497671239,-0.192,0.13464418649673462,6.0,True,0.0,3.6178778868179142,0.12962907539908528
31,3.2099999999999755,10.919816870613559,-2.2684400535196865,4.573116978952549,5.368486473501307,0.064,0.08598070740699769,6.0,False,0.00017654076457854218,3.618054427582493,0.13457577405759422
32,3.3099999999999734,10.876368858626753,-2.8154980730913985,4.646908451163504,5.612024306042899,0.064,0.3970395565032959,6.0,True,0.0,3.618054427582493,0.13986734023248112
33,3.4099999999999713,10.853534172834356,-3.383385294904406,4.790086163495064,5.761643840099433,0.32000000000000006,0.3947407484054566,6.0,False,0.008240485980366419,3.6262949135628593,0.14568633984801066
34,3.509999999999969,10.930930021059183,-3.9571678505883825,5.212926144763944,5.853563870501571,0.3840000000000001,-0.09609264731407166,5.999999850988388,True,0.07194497588015578,3.698239889443015,0.1518928292010022
35,3.609999999999967,11.194603885244902,-4.4789640817922,5.701778020298005,5.910035663737081,0.128,0.052408146858215335,5.999623745679855,False,0.09042538702821148,3.7886652764712263,0.15825124733543636
36,3.709999999999965,11.621780466462564,-4.886997615971159,5.862296239184184,5.944584547303943,0.064,-0.39881949424743657,5.985743910074234,True,0.15770692770135353,3.94637220417258,0.16273672521557997
37,3.8099999999999627,12.127793008550652,-5.199669394406008,5.863930565344074,5.96045730628259,-0.192,-0.30589559078216555,3.3719380237162113,False,0.0,3.94637220417258,0.16688308388805545
38,3.9099999999999606,12.599749377834655,-5.487652021440815,5.492003767276239,5.009457306282586,-0.32000000000000006,-0.3744765996932984,3.9737037792801857,True,0.0,3.94637220417258,0.1710733018092971
39,4.009999999999959,12.910050045399178,-5.820346308060283,4.681928308915501,4.173739432179012,-0.3840000000000001,-0.3989952802658081,5.003371745347977,False,0.05199692019438798,3.998369124366968,0.17548834757679022
40,4.109999999999957,12.946334795782152,-6.243550586086547,4.2805334160606,4.493680093586295,-0.3840000000000001,0.4,6.0,True,0.09307512060883821,4.091444244975806,0.1794937504066233
41,4.209999999999955,12.761269941547216,-6.681988295914523,4.072040425128449,5.07457958303374,-0.128,0.2726090669631958,5.999999105930328,False,0.1695564912589183,4.261000736234724,0.18314414165390597
42,4.3099999999999525,12.46795969648778,-7.117112023662651,4.038721307108905,5.431459769033012,0.192,0.39036872386932375,2.1482715606689453,True,0.0,4.261000736234724,0.18749342127527388
43,4.40999999999995,12.201775497827239,-7.5399905923647905,4.435771656953131,4.480459769033008,0.3840000000000001,0.3981585741043091,2.729394793510437,False,0.0,4.261000736234724,0.19066663753371052
44,4.509999999999948,12.115617650166072,-7.930891997449635,5.314734253466155,3.529459769033006,0.3840000000000001,0.026200321316719056,5.7143226861953735,True,0.16206742615102915,4.4230681623857535,0.19460884445536342
45,4.609999999999946,12.303022362957226,-8.270024053113897,5.514293565175175,4.363473072657821,0.128,-0.08044816255569459,5.432761371135712,False,0.13743041726813798,4.560498579653892,0.19879218953176292
46,4.709999999999944,12.617347756097862,-8.601035745082985,5.508234230738962,4.775835031105802,-0.064,-0.3930971384048462,5.977483451366425,True,0.14557791175515136,4.706076491409044,0.20339380667644302
47,4.809999999999942,12.959308917977031,-8.966091689952192,5.394720538791648,5.239240547326214,-0.32000000000000006,-0.3415411710739136,5.95881199836731,False,0.16200969635795548,4.868086187766999,0.20872291761074765
48,4.90999999999994,13.266370985520432,-9.406009212252213,5.063575138025325,5.516737171217958,-0.32000000000000006,-0.2064391613006592,5.999999850988388,True,0.18501109057511061,5.0530972783421095,0.21336306773172087
49,5.009999999999938,13.45902492871606,-9.930769718697128,4.721267791101323,5.703103322758776,-0.192,-0.12876266241073608,5.999998956918716,False,0.17839433431582294,5.2314916126579325,0.2205610168994635
50,5.1099999999999355,13.508702062454056,-10.503141880552834,4.5084432733332465,5.817598604649659,-0.128,0.3948247909545899,6.0,True,0.11802618684554406,5.349517799503476,0.22630386726056737
51,5.209999999999933,13.43719162887548,-11.083303103206715,4.392082851518099,5.887940154928828,0.128,0.1940993905067444,5.999959319829941,False,0.1938813051251818,5.543399104628659,0.23193111477199974
52,5.309999999999931,13.3224822362817,-11.662946908474675,4.588126447370566,5.931139395290931,0.192,0.34626863002777103,5.999982267618179,True,0.15859502994718835,5.701994134575847,0.23784717983954567
53,5.409999999999929,13.27300151836895,-12.254264612318263,4.932704473391167,5.957688064811077,0.32000000000000006,0.29565248489379886,5.999578893184662,False,0.15437052149280608,5.856364656068654,0.24409353797835676
54,5.509999999999927,13.38814094684146,-12.836765288719814,5.385352892916728,5.973842907292502,0.32000000000000006,-0.17862770557403565,5.999433755874634,True,0.16210728031914878,6.018471936387803,0.24987434812694956
55,5.609999999999925,13.704467799714843,-13.340021069892122,5.779307927024897,5.983711800887142,0.064,-0.042688414454460144,5.999948590993881,False,0.16163764861288116,6.180109585000684,0.2552058823406808
56,5.709999999999923,14.16056236510749,-13.725889604015173,5.843373366382731,5.989973381208234,-0.064,-0.3697129011154175,5.999868720769882,True,0.17841442210181516,6.358524007102499,0.26118966048029885
57,5.809999999999921,14.663799736853596,-14.051049175844913,5.693303197348503,5.993789434939446,-0.32000000000000006,-0.39309961795806886,4.24711836874485,False,0.0026831670511959227,6.361207174153695,0.266542241209057
58,5.909999999999918,15.089627219538077,-14.406577647005856,5.005512185101563,5.042789434939442,-0.3840000000000001,-0.23579809665679932,5.999993592500687,True,0.15018114707376945,6.511388321227464,0.27199153405832527
59,6.009999999999916,15.285544829475322,-14.882816878351173,4.527301832440187,5.411927095576309,-0.256,-0.19450173377990723,5.998792260885239,False,0.09228206648407657,6.603670387711541,0.27705879740181766
60,6.109999999999914,15.262443947206966,-15.432504138611572,4.3702895494123615,5.638246666506031,-0.192,0.38476960659027104,6.0,True,0.02094709730157529,6.6246174850131165,0.2814533065992244
61,6.209999999999912,15.10219334529823,-15.979320088645695,4.205212973731219,5.777753769769953,0.064,0.10945383310317994,3.5197208300232887,False,0.061807174003021076,6.686424659016137,0.2851383125069733
62,6.30999999999991,14.896907781628626,-16.473306292535746,4.232854897128754,4.826753769769949,0.128,0.3942979574203491,1.284215360879898,True,0.0,6.686424659016137,0.2881915546895293
63,6.409999999999908,14.731007731780217,-16.8805070342433,4.448828693403343,3.875753769769946,0.3840000000000001,0.3999999284744263,3.406305391341448,False,0.139253415795647,6.825678074811784,0.2913334867810654
64,6.419999999999908,14.684972009126577,-17.23719437602789,4.961704511294546,3.4632385878059138,0.3840000000000001,0.3999807834625244,5.985830336809158,True,-1,5.825678074811784,0.2916778438375966
