control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,False,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.025731298327445987,6.0,False,0.1912408270508343,0.1912408270508343,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.025731298327445987,6.0,False,0.19167580711641155,0.38291663416724586,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.025731298327445987,6.0,False,0.1926135065459809,0.5755301407132267,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,-0.025731298327445987,6.0,False,0.19413698567180204,0.7696671263850288,0.017232009705660804
6,0.7100000000000004,1.6368188394786884,-0.024998554484956925,6.246212018917507,5.152876976306625,0.0,-0.025731298327445987,6.0,False,0.19624396750855969,0.9659110938935884,0.022821119789392347
7,0.8100000000000005,2.1677122661442283,-0.045600174077018836,6.23078210558419,5.4795627818034465,0.0,-0.025731298327445987,6.0,False,0.1984571429547824,1.1643682368483708,0.028685297409444036
8,0.9100000000000006,2.7247335637469514,-0.07480688511689815,6.213405891253471,5.680264978629355,0.0,-0.025731298327445987,6.0,False,0.19828298621838808,1.362651223066759,0.034714896245576624
9,1.0100000000000007,3.297467744963113,-0.11383432919662308,6.194495118544073,5.803568076385578,0.0,-0.025731298327445987,6.0,False,0.19432295498308388,1.5569741780498427,0.04084130473500443
10,1.1100000000000008,3.8793975955796323,-0.1636840819467009,6.174443246661994,5.879320380828309,0.0,0.1189365029335022,5.999981671571732,True,0.17420753661383495,1.7311817146636777,0.04702611244281959
11,1.2100000000000009,4.466874619305964,-0.22037598588137444,6.200993004066838,5.925852383685392,0.128,0.05824940800666809,5.970823973417282,False,0.18701163488245964,1.9181933495461374,0.05326307579071903
12,1.310000000000001,5.059305756669254,-0.2531391901427503,0.048459538160079155,5.943195295641652,0.064,0.05824940800666809,5.970823973417282,False,0.17553332707985694,2.0937266766259945,0.05952269375872209
13,1.410000000000001,5.65388879097435,-0.2421099219711594,0.1227984114617548,5.953850060771977,0.064,0.05824940800666809,5.970823973417282,False,0.1513269329753362,2.2450536096013307,0.06576486443602597
14,1.5100000000000011,6.246814557520086,-0.18596668073119016,0.18727296797614026,5.960395906144928,0.064,0.05824940800666809,5.970823973417282,False,0.0937006014664927,2.3387542110678234,0.07195668560931101
15,1.6100000000000012,6.83495777007797,-0.08875038513215847,0.2525592863285592,5.964417401797107,0.064,0.05824940800666809,5.970823973417282,False,0.029876444058109075,2.3686306551259326,0.07806963544015597
16,1.7100000000000013,7.415609221581513,0.04763321762704541,0.318726110231193,5.966888041776982,0.064,0.05824940800666809,5.970823973417282,False,0.0,2.3686306551259326,0.08407585576267997
17,1.8100000000000014,7.986122745302282,0.22230498872183477,0.38523327073501124,5.968405900414191,0.064,0.05824940800666809,5.970823973417282,False,0.0,2.3686306551259326,0.08994793967435682
18,1.9100000000000015,8.543895038714753,0.4345135607396735,0.4518543509024841,5.969338409748337,0.064,0.05824940800666809,5.970823973417282,False,0.0,2.3686306551259326,0.09565920762682821
19,1.9900000000000015,9.086391888565359,0.6833699398006029,0.5185193118446766,5.969911304770941,0.064,0.05824940800666809,5.970823973417282,False,-1,1.3686306551259326,0.09813672892956538
