sense_interval,effective_sensing_hz,lap_index,success,crashed,lap_time,final_progress,episode_return,n_control_steps,n_fresh_observations,fresh_observation_ratio,final_x,final_y
2,5.0,0,False,True,8.789999999999857,0.38451263607962927,7.64820460048467,88,44,0.5,10.19837364668816,-18.903839780847754
2,5.0,1,False,True,3.099999999999978,0.10872592832616639,2.323659116049522,31,16,0.5161290322580645,10.902247046026307,0.2522135312967116
2,5.0,2,False,True,18.600000000000108,0.8525073105675928,21.793145694824002,186,93,0.5,-4.584073491721782,-5.288162298197426
2,5.0,3,True,False,21.81000000000061,0.993290020584079,24.16380182236218,218,109,0.5,-0.0464958986672733,-0.22095551167601718
2,5.0,4,False,True,7.469999999999885,0.3344875652217589,7.678698630308608,75,38,0.5066666666666667,14.98719030266784,-20.54526101859586
2,5.0,5,False,True,7.24999999999989,0.3237642689916738,6.294770616817235,73,37,0.5068493150684932,17.771160426091264,-19.405184633767817
2,5.0,6,False,True,6.419999999999908,0.2916778438375966,5.825678074811784,65,33,0.5076923076923077,14.689432565708742,-17.271538306883052
2,5.0,7,False,True,4.929999999999939,0.21730591766016252,4.348307442903498,50,25,0.5,14.01026219364074,-10.059041019760224
2,5.0,8,False,True,23.010000000000797,0.9335195690328902,21.97013766779631,230,115,0.5,-6.484069539746756,0.4523348164565181
2,5.0,9,False,True,7.809999999999878,0.3270702230460284,7.096133380689045,78,39,0.5,17.71090464244805,-19.743936759236124
2,5.0,10,False,True,11.00999999999981,0.9974183311761394,8.338490088968015,110,55,0.5,-3.1839642668320427,-5.649009599606743
2,5.0,11,True,False,22.690000000000747,0.994008220854228,24.70153607053804,227,114,0.5022026431718062,-0.09114472579746508,-0.038989105157270394
2,5.0,12,False,True,9.229999999999848,0.4335082385276263,8.90789139553625,93,47,0.5053763440860215,6.145782888991899,-17.111731458244492
2,5.0,13,False,True,6.519999999999905,0.30956349541319966,6.010615699850121,66,33,0.5,15.388465892474448,-18.616611920850996
2,5.0,14,False,True,3.0599999999999787,0.1086253612128756,2.2085296381314787,31,16,0.5161290322580645,10.810866943053512,0.42259699596608874
2,5.0,15,False,True,11.4299999999998,0.5021705567948618,10.574997563504695,115,58,0.5043478260869565,-0.3155774549449939,-14.800700142188198
2,5.0,16,False,True,5.619999999999925,0.2430911336397014,4.756539541339821,57,29,0.5087719298245614,12.723989331191925,-12.904655015911537
2,5.0,17,False,True,6.619999999999903,0.1603334981891707,4.510818115139121,67,34,0.5074626865671642,3.689340586347157,0.9100235827238217
2,5.0,18,True,False,23.870000000000932,0.9956386221956807,26.41097675596404,239,120,0.502092050209205,-0.05653123446667248,-0.18218676649088003
2,5.0,19,False,True,9.069999999999851,0.37748327825342576,7.800975280354457,91,46,0.5054945054945055,10.96243315620682,-19.279340092407974
