control_step,lap_time,x,y,yaw,velocity,steering_state,commanded_steering,commanded_speed,lidar_fresh,instantaneous_reward,cumulative_reward,progress
0,0.10999999999999999,0.0,0.0,0.0,0.0,0.0,0,7,True,0.0,0.0,0.0004235027159470536
1,0.21000000000000005,0.04022730000000001,0.0,0.0,0.9224699999999999,0.0,0,7,False,0.0,0.0,0.0018451903203083203
2,0.3100000000000001,0.17526929999999996,0.0,0.0,1.8734699999999995,0.0,-0.026319640874862674,6.0,False,0.19138791268768848,0.19138791268768848,0.004211097660123704
3,0.4100000000000002,0.4054099257854897,-0.0006046420977472552,6.279332406899867,2.8244699999999994,0.0,-0.026319640874862674,6.0,False,0.19182289275326572,0.3832108054409542,0.0076919241232672655
4,0.5100000000000002,0.7306336597912013,-0.00398088897676173,6.269843320933468,3.775469999999999,0.0,-0.026319640874862674,6.0,False,0.19276059218283506,0.5759713976237892,0.012094634444884367
5,0.6100000000000003,1.1488343991293875,-0.011610648135274609,6.259228193358612,4.621125868441667,0.0,0.011510513722896576,6.0,True,0.18482653265921642,0.7607979302830057,0.01723245070178323
6,0.7100000000000004,1.6368607284268524,-0.023452807787399627,6.258966318390905,5.152876976306625,0.0,0.010442259162664414,6.0,False,0.1858230061756239,0.9466209364586295,0.02282478644770693
7,0.8100000000000005,2.1680605514289835,-0.033470720032260065,6.276343322323001,5.4795627818034465,0.0,0.010442259162664414,6.0,False,0.18443555517838311,1.1310564916370127,0.028696902281345048
8,0.9100000000000006,2.7258358770163706,-0.03700858160105844,0.011166040476909622,5.680264978629355,0.0,0.010442259162664414,6.0,False,0.18240202980092302,1.3134585214379357,0.03474021847668151
9,1.0100000000000007,3.2998730305704265,-0.03163776420394746,0.03011147960957661,5.803568076385578,0.0,0.010442259162664414,6.0,False,0.17940031555599392,1.4928588369939297,0.04088685009628185
10,1.1100000000000008,3.8837238179218394,-0.01596689946076238,0.05014652133571537,5.879320380828309,0.0,-0.10502160787582399,5.999980181455612,True,0.19575207887511095,1.6886109158690408,0.04709599713805376
11,1.2100000000000009,4.473512764693785,0.0062185147076679196,0.023590615322171875,5.925851809034755,-0.128,-0.09839988946914674,5.983140677213669,False,0.1959439347229154,1.8845548505919563,0.05334421490661043
12,1.310000000000001,5.067012926974877,0.0019235439896388051,6.152765467054908,5.947944774901073,-0.128,-0.09839988946914674,5.983140677213669,False,0.1819044123301467,2.066459262922103,0.05956853357911713
13,1.410000000000001,5.658242983137805,-0.06538995723748164,5.989781197838592,5.9615177759594635,-0.128,-0.09839988946914674,5.983140677213669,False,0.14486324255927094,2.2113225054813737,0.065643608527194
14,1.5100000000000011,6.235296808901996,-0.21456711743603238,5.832254380609718,5.969856464338644,-0.128,-0.09839988946914674,5.983140677213669,False,0.07458832262981785,2.2859108281111915,0.07142092917920662
15,1.6100000000000012,6.784067813935557,-0.44877970152142643,5.676745921954099,5.974979408305563,-0.128,0.36266951560974126,5.999978840351105,True,0.056094361430929995,2.3420051895421214,0.07678047191178733
16,1.6700000000000013,7.293155300858066,-0.7616557146154078,5.55906099994041,5.984620227131563,0.128,0.39911389350891113,4.591028526425362,False,-1,1.3420051895421214,0.07975985801560834
