sense_interval,effective_sensing_hz,lap_index,success,crashed,lap_time,final_progress,episode_return,n_control_steps,n_fresh_observations,fresh_observation_ratio,final_x,final_y
1,10.0,0,True,False,21.480000000000558,0.9948495611714394,27.741044937791184,215,215,1.0,-0.07051993657445904,0.12387614134081941
1,10.0,1,True,False,22.300000000000686,0.9936266450832146,28.82467144364305,223,223,1.0,-0.06878475509439297,0.044738562366419
1,10.0,2,True,False,21.88000000000062,0.9948482170991957,28.263502074913713,219,219,1.0,-0.07275789610715985,-0.01253607186260452
1,10.0,3,True,False,21.840000000000614,0.9971376090312415,28.62450304927214,219,219,1.0,-0.09505127072833881,0.10219061046460187
1,10.0,4,True,False,22.030000000000644,0.9916548563728046,27.686204813529052,221,221,1.0,-0.07660808588090116,-0.030072665437747545
1,10.0,5,True,False,22.20000000000067,0.9939153229571204,28.27252727444371,222,222,1.0,-0.04653415077357185,0.17545494771369852
1,10.0,6,True,False,22.20000000000067,0.9938923693871747,27.407234074438144,222,222,1.0,-0.04282951420678023,-0.08225161954818601
1,10.0,7,True,False,21.55000000000057,0.9965843556619838,28.386897812825666,216,216,1.0,-0.09167884755695445,0.06690046987596211
1,10.0,8,True,False,22.07000000000065,0.9952868855827599,28.714485904191154,221,221,1.0,-0.08995682421651799,0.24493859638406018
1,10.0,9,True,False,21.590000000000575,0.9941117776111353,27.9598204555303,216,216,1.0,-0.08412282486004265,-0.07522578847659576
1,10.0,10,True,False,21.910000000000625,0.9929339999666519,28.108812622148058,219,219,1.0,-0.07439987925791641,0.023172253348789876
1,10.0,11,True,False,21.88000000000062,0.9946334561753654,26.916662851719682,219,219,1.0,-0.0911455542087755,-0.008714787595382866
1,10.0,12,True,False,21.660000000000586,0.9960241896371507,27.145520527682677,217,217,1.0,-0.07908830254491271,-0.04897622529216663
1,10.0,13,True,False,21.68000000000059,0.994593676887908,28.67987812335247,217,217,1.0,-0.09563253825225965,-0.066372713970864
1,10.0,14,True,False,22.01000000000064,0.9929822869054793,28.342176825611208,220,220,1.0,-0.070269328280993,-0.06940708841131756
1,10.0,15,True,False,21.700000000000593,0.9936858352622782,28.760241427145765,217,217,1.0,-0.06372573990185497,0.22730046592811173
1,10.0,16,True,False,21.410000000000547,0.9930970618323361,28.01333372133498,214,214,1.0,-0.06319659127839725,0.14584641229503026
1,10.0,17,True,False,21.990000000000638,0.9942567023383904,29.094021126244737,220,220,1.0,-0.06783952959966777,-0.013430625448441945
1,10.0,18,True,False,21.860000000000618,0.9964119160315961,27.519983872253086,219,219,1.0,-0.04170301330733999,-0.04962727528028638
1,10.0,19,True,False,22.14000000000066,0.9970633932672734,27.809027953367647,222,222,1.0,-0.09982238141152924,-0.01681045474196305
